" I cheer myself up when I'm down by listening to my playlist called, Genius: Ballads and Cellos. I love my iPod and my taste of music.",POSITIVE
 just watched the movie Wanted... it was pretty darn good.,POSITIVE
 now I'm happy ,POSITIVE
--plotting like i'm mike..'game plan:pass the ball to lebron AT ALL TIMES and DONT FOUL'..certainly we'll win  haha..go cavs goooo!,POSITIVE
@ mcdonalds with my litto sis aka cuzin lol cristyyyyy ,POSITIVE
@ PBnJen : Thanks for the great tour and making me even more excited to work in PR!  You Rock and so does S,POSITIVE
@_Chelsea_Marie does target ship things to london? thanks so much! im such a demi fan shes amazing! ,POSITIVE
@adeline_sky  that sounds fantastic! You're amazing! We need to watch some Muse gigs too! Shall we do it Saturday night?,POSITIVE
"@adrianogarcia Ok, tend to use a dongle, but nice to know I could, even nicer to know iPhones can't  ",POSITIVE
@agallerylondon Hi! Great to see your tweet follow. Thanks!  How's the weekends for you?,POSITIVE
@Alex_Jeffreys Welcome back. Emailed you earlier this morning with some stuff. We'll speak real soon. What a time in Vegas we all had ,POSITIVE
@AlexAllTimeLow i have a house boat in seattle you could all get wasted on next time youre here...can hols 100 people ,POSITIVE
@AlexAllTimeLow Sydney Aquarium is the best place in the world  When youre done walk over the bridge and go to the mall (YYY),POSITIVE
@AlexAllTimeLow thankyou so much for taking photos with us and being so awesome. Enjoy sydney ,POSITIVE
"@alix_says, it's just like school except there's even more homework and everyone's a lot nicer (normally) ",POSITIVE
@AllThingsFresh beautiful ,POSITIVE
@AmyEutsler connection's pretty good in Sydney today... Maybe you should come down for a visit??? ,POSITIVE
@AmyLee27 Hi Amy. I great. I took a vacation day today in order to attend a Executive Committee meeting tonight. Obama makes me so proud ,POSITIVE
@amysav83 i hve 2 leave 4 work :O i posted a youtube vid for you to watch. hope you like it. i may log on at work. have a great day ,POSITIVE
@Andipham  Sweet! it's really close to me..must be very nice! try posting on Craig'slist with images..should get some fast repsponse ,POSITIVE
@angiekaybee yep i saw him in february and i get to see @dfcook on may 8th. looking forward to seeing him again ,POSITIVE
"@AnnaSaccone Love your new cards!   I would definitely hire you 4"";""@supricky06",POSITIVE
@arataka yay!  you found them!!!  ,POSITIVE
@ashleeadams doesn't make you look fat at all man. Good photo. ,POSITIVE
@ashleytisdale when are you coming to ireland? i'd love to see you in ireland  and yay for starbucks,POSITIVE
@athena422 Right on...I saw 'Ryche in Vegas at the end of April and they were awesome as usual ,POSITIVE
